818 0.0557670477 0 1 
842 0.0547658629 0 1 
788 0.0482567996 0 1 
860 0.0454326673 0 1 
753 0.0354006447 0 1 
872 0.0272929799 0 1 
713 0.0218913306 0 1 
877 0.0201777605 1 1 
878 0.0131077288 1 1 
853 0.0118798154 1 1 
873 0.0118315096 0 1 
861 0.0116060542 0 1 
832 0.0115490210 0 1 
670 0.0112721771 0 1 
854 0.0098757480 0 1 
868 0.0091063147 0 1 
879 0.0070625630 0 1 
869 0.0049072856 0 1 
622 0.0048511674 0 1 
871 0.0044395799 0 1 
843 0.0041970502 0 1 
805 0.0041382618 0 1 
714 0.0037747731 0 1 
669 0.0037456322 0 1 
833 0.0032864514 0 1 
1894 0.0029426205 0 1 
754 0.0023650995 0 1 
573 0.0023631941 0 1 
623 0.0023232997 0 1 
1790 0.0022820619 0 1 
881 0.0018038194 0 1 
1850 0.0014379949 0 1 
1822 0.0013728597 0 1 
1871 0.0012986355 0 1 
1887 0.0010954258 0 1 
876 0.0010551442 0 1 
819 0.0008756989 0 1 
1849 0.0007868271 0 1 
1823 0.0007561490 0 1 
1712 0.0006883798 0 1 
574 0.0006828166 0 1 
1753 0.0006536764 0 1 
1752 0.0005718722 0 1 
