799 0.0157182314 1 1 
684 0.0130315220 0 1 
765 0.0126169958 1 1 
727 0.0124206484 1 1 
866 0.0098819979 1 1 
850 0.0094659283 1 1 
637 0.0082952337 0 1 
766 0.0068049577 1 1 
726 0.0056516412 0 1 
828 0.0055111946 1 1 
827 0.0038974917 1 1 
589 0.0035921420 0 1 
588 0.0030230310 0 1 
867 0.0025359070 1 1 
638 0.0022766019 0 1 
798 0.0020489304 0 1 
849 0.0019715205 1 1 
851 0.0017558232 1 1 
538 0.0017319844 0 1 
865 0.0016238009 1 1 
876 0.0015727066 1 1 
537 0.0014874075 0 1 
683 0.0014866680 0 1 
685 0.0012471590 0 1 
800 0.0009134471 1 1 
486 0.0008815033 0 1 
864 0.0008036618 0 1 
1765 0.0007445733 0 1 
1802 0.0007418501 0 1 
728 0.0006528476 0 1 
636 0.0006036232 0 1 
764 0.0005752287 0 1 
1833 0.0005571831 1 1 
877 0.0005510459 1 1 
1877 0.0005345623 1 1 
875 0.0004986749 1 1 
869 0.0004259299 1 1 
848 0.0004154752 0 1 
847 0.0004072861 0 1 
725 0.0003842536 0 1 
1682 0.0003824216 0 1 
1725 0.0003800749 0 1 
797 0.0003721697 0 1 
1858 0.0003534596 1 1 
1634 0.0003277370 0 1 
826 0.0003167267 0 1 
870 0.0002967109 1 1 
1726 0.0002844794 0 1 
1878 0.0002610910 1 1 
829 0.0002246142 1 1 
767 0.0002187712 0 1 
1832 0.0001859748 0 1 
871 0.0001812344 1 1 
1859 0.0001737665 1 1 
857 0.0001641220 1 1 
878 0.0001608070 1 1 
