546 0.0091052346 1 1 
494 0.0081661193 1 1 
442 0.0051643608 1 1 
389 0.0037065184 1 1 
547 0.0027085233 1 1 
441 0.0025415355 1 1 
597 0.0022295188 1 1 
337 0.0021719128 1 1 
390 0.0021580939 1 1 
493 0.0017622936 1 1 
495 0.0017079194 1 1 
338 0.0015503206 0 1 
545 0.0013407009 0 1 
388 0.0008649567 0 1 
596 0.0008562516 0 1 
1541 0.0005158136 0 1 
1435 0.0004940638 0 1 
440 0.0003727244 0 1 
1488 0.0002535909 0 1 
387 0.0002235245 0 1 
492 0.0002195620 0 1 
1593 0.0002121581 0 1 
1487 0.0002055912 0 1 
1540 0.0001419413 0 1 
544 0.0001371781 0 1 
1382 0.0001332249 0 1 
1592 0.0001308231 0 1 
336 0.0001264107 0 1 
595 0.0001057983 0 1 
1381 0.0000944708 0 1 
